numpregunta,respuestas,ai
6,"Pienso que son programas sin sentido ya que al intentar mostrarnos algo realístico muestran exageraciones o cosas completamente falsas por buscar entretener a la audiencia. No son exactamente malos, pero no deberían considerarse realidades, o cosas a aspirar, sino se debería ver como solo entretenimiento.",0
5,"Apelar al gusto de la mayoría de las personas con un sabor dulce que este balanceado, ni muy empalagoso ni muy amargo",0
5,Debe tener un equilibrio de sabores y una buena textura.,0
6,"En mi opinión, son solo una forma más de entretenimiento. ¿Por qué podemos juzgar a otras personas por su medio de entretenimiento que no afecta a terceros? Para mí, es igual que ver una película, una serie, una telenovela, etc. Cada persona obtiene (o no) lo que quiere de lo que consume.",0
2,La velocidad es la distancia que recorre un objeto dividido entre el tiempo que le toma recorrer dicha distancia V = d/t donde d= distancia y t= tiempo,0
8,Cumplir con sus obligaciones,0
3,Es una unidad para medir la longitud de los objetos,0
8,realice su labor de una forma correcta y responsable,0
8,"Ser aplicado en sus materias en general, y ser dispuesto para aprender.",0
7,"Debe saber como captar la atención de los alumnos y lograr retenerla, debe saber explicar los temas y no calificar con las patas ",0
4,Es el tiempo relativo de una medida y se usa para la medición del tiempo ,0
9,"De como lo maneje el profesor, la misma materia con un diferente profesor cambia mucho de nivel de dificultad",0
3,El metro es una unidad de distancia y se usa para medir distancias relativamente largas a comparación de sus predecesores como el cm y mm. Se usa para medir cuando empieza y termina un objeto.,0
8,"Debe de asistir a todas las clases, tener promedio mayor a 95, realizar actividades artísticas y deportivas, tener una rutina estricta de horarios y ser una persona que esté dispuesta a ayudar a los demás con mucho respeto cuando lo necesiten.",0
1,Ni idea,0
6,Interesantes,0
8,Debería ser comprometido y honesto consigo mismo sobre si le entiende a las clases ,0
9,"De que tenga compromiso de estudiar y que sea honesto con lo que entienda de las clases y que si en caso de que no haya entendido, pregunte o busque por otro medio ",0
6,no se que es eso.,0
2,que tanto puede desplazarse el objeto en un terminado tiempo,0
5,Chocolate y buena consistencia,0
0,"Se compone de tres poderes, ejecutivo, judicial y legislativo. El legislativo se encarga de crear o modificar las leyes del país. El judicial se encarga de que las leyes sean respetadas y en ejecutivo de manejar al país.",0
0,Ni idea,0
7,Que sus clases no parezcan clases y sea más como una plática que te incite a seguir prestando atención y no simplemente asistir por asistir. ,0
8,Que tenga buenas notas y destacque en activdades academicas y no academicas,0
4,"El segundo es una unidad que se define por el tiempo en el que sucede un evento, no se cual. El segundo sirve como unidad de medida de tiempo en el CV.",0
3,Se usa para definir la longitud en el sistema internacional.,0
0,"Presidencia, gobernadores, alcaldes",0
2,es la distancia que recorre un objeto en un tiempo determinado,0
9,En su razonamiento para resolver el problema,0
2,Magnitud de movimiento constante que mantiene un objeto al moverse de un punto a otro.,0
8,"Debe ser un estudiante que busca aprender, que es estudioso y da su mejor esfuerzo, es atento en clase y cuando tiene preguntas las hace, y que puede tener una buena relacion con el docente.",0
3,Unidad de longitud para conocer las dimensiones de un objeto o la distancia,0
3,Es la unidad de longitud base del sistema métrico internacional. Originalmente representa una parte de la longitud del meridiano de la tierra entre el ecuador y el polo norte.,0
3,La distancia que se tarda un haz de luz en el vacio en un tiempo especifico de tiempo (tampoco me acuerdo que fraccion de segundo es) se usa para nedir distancia ,0
7,"Debe de mostrar pasión al dar las clases, ser un experto en el tema que está exponiendo, ser muy organizado en cuanto a las actividades de clase y tareas que encarga, hacer un examen representativo de lo que se debió aprender en el curso, y ser un buen guía para encaminar los aprendizajes de los alumnos.",0
0,"El gobierno mexicano se cuenta dividido en 3 poderes (legislativo, judicial, ejecutivo) los cuales se subdividen para encargarse de diferentes rubros correspondientes a las necesidades de la nacion",0
